SiteName,UVI,WGS84Lon,WGS84Lat,PublishTime
花蓮,9,"121,36,18","23,58,37",2017/6/7 10:00
馬祖,8,"119,55,23","26,10,10",2017/6/7 10:00
高雄,7,"120,18,29","22,34,04",2017/6/7 10:00
玉山,6,"120,57,06","23,29,21",2017/6/7 10:00
臺南,6,"120,12,17","22,59,36",2017/6/7 10:00
新竹,8,"121,00,22","24,49,48",2017/6/7 10:00
鞍部,8,"121,31,12","25,11,11",2017/6/7 10:00
恆春,8,"120,44,17","22,00,20",2017/6/7 10:00
臺北,7,"121,30,24","25,02,23",2017/6/7 10:00
成功,9,"121,21,55","23,05,57",2017/6/7 10:00
基隆,7,"121,43,56","25,08,05",2017/6/7 10:00
新屋,9,"121,02,36","25,00,57",2017/6/7 10:00
蘭嶼,6,"121,33,02","22,02,19",2017/6/7 10:00
臺東,8,"121,08,48","22,45,15",2017/6/7 10:00
日月潭,6,"120,54,29","23,52,53",2017/6/7 10:00
金門,5,"118,17,21","24,24,27",2017/6/7 10:00
宜蘭,-999,"121,44,53","24,45,56",2017/6/7 10:00
澎湖,8,"119,33,19","23,34,02",2017/6/7 10:00
臺中,6,"120,40,33","24,08,51",2017/6/7 10:00
嘉義,7,"120,25,28","23,29,52",2017/6/7 10:00
屏東,7,"120,29,16.92","22,40,23.09",2017/6/7 10:00
橋頭,4,"120,18,20.48","22,45,27.02",2017/6/7 10:00
新營,6,"120,19,2.10","23,18,20.28",2017/6/7 10:00
朴子,7,"120,14,50.46","23,27,55.11",2017/6/7 10:00
塔塔加,10,"120,52,50.06","23,28,14.19",2017/6/7 10:00
阿里山,5,"120,48,05.02","23,30,30.82",2017/6/7 10:00
斗六,7,"120,32,41.98","23,42,42.67",2017/6/7 10:00
南投,7,"120,41,7.1","23,54,46.8",2017/6/7 10:00
彰化,7,"120,32,29.47","24,03,57.60",2017/6/7 10:00
沙鹿,9,"120,34,7.66","24,13,32.26",2017/6/7 10:00
苗栗,8,"120,49,12.72","24,33,54.97",2017/6/7 10:00
桃園,7,"121,19,11.87","24,59,41.24",2017/6/7 10:00
板橋,,"121,27,31.2","25,00,46.7",2017/6/7 09:00
淡水,7,"121,26,57.26","25,09,52.20",2017/6/7 10:00
